Wall time,Step,Value
1744852653.5756483,12800,2491.853271484375
1744852693.5412326,31360,2453.470458984375
1744852714.0155375,40960,2397.5146484375
1744852715.5230017,41600,2395.8369140625
1744852725.835825,46720,2375.377197265625
1744852750.072451,58240,2443.73828125
1744852768.8625326,67200,2437.270263671875
1744852774.0174096,69760,2443.55859375
1744852803.2469537,83200,2577.32275390625
1744852805.4766579,84480,2575.599853515625
1744852840.1764855,101760,2674.272705078125
1744852843.6853,103680,2674.272705078125
1744852848.6993597,106240,2737.359619140625
1744852858.948659,111360,2757.5634765625
1744852883.4206817,123520,2739.0673828125
1744852898.6515715,131200,2723.1552734375
1744852929.2136483,147840,2817.02978515625
1744852948.4483702,157440,2843.135986328125
1744852949.4927607,158080,2843.135986328125
1744852967.598562,167040,2810.315673828125
1744852983.555241,174720,2852.87109375
1744852997.4450414,181760,2911.472412109375
1744853001.5636857,183680,2904.222412109375
1744853041.3245819,203520,2935.6787109375
1744853044.9258204,205440,2941.06787109375
1744853081.104881,222720,2963.340576171875
1744853096.2638106,230400,2955.9404296875
1744853106.2484198,235520,2993.070556640625
1744853122.2439654,243200,2934.737060546875
1744853132.075417,248320,2884.86865234375
1744853151.885875,258560,2694.40966796875
1744853168.6299698,266880,2620.475830078125
1744853195.2185218,280320,2256.729736328125
1744853196.048408,280960,2256.344970703125
1744853206.607346,286720,2356.247314453125
1744853224.3236234,296320,2420.236572265625
1744853229.1556675,298880,2398.1748046875
1744853241.9934053,305280,2418.148681640625
1744853247.6060426,308480,2446.127685546875
1744853248.9538293,309120,2522.66015625
1744853285.970268,327680,2661.3671875
1744853288.8866508,328960,2664.015380859375
1744853289.7034552,329600,2623.56689453125
1744853317.4382353,342400,2336.932861328125
1744853323.3379104,345600,2336.98193359375
1744853326.1188931,346880,2335.580810546875
1744853346.0361598,357120,2304.364013671875
1744853354.1635,360960,2273.57568359375
1744853389.3209023,378880,2443.177490234375
1744853394.602498,381440,2509.16943359375
1744853397.294379,382720,2512.383544921875
1744853438.5878634,403840,2715.021484375
1744853448.460832,408960,2776.816162109375
1744853456.3661025,412800,2825.668701171875
1744853457.7406228,413440,2825.668701171875
1744853476.0472062,422400,2955.8154296875
1744853487.1880126,428160,3020.02734375
1744853497.4776263,433280,3023.77490234375
1744853555.477451,462720,3014.95751953125
1744853560.4041505,465280,3032.12060546875
1744853611.006606,490240,2921.06396484375
1744853624.4485157,497280,3039.8134765625
1744853633.5506535,501760,2953.3193359375
1744853640.6034935,505600,2978.54296875
1744853660.6561544,515840,2982.167724609375
1744853696.189904,533760,2983.992431640625
1744853727.3669965,549760,2977.240966796875
1744853739.2820756,555520,2987.777099609375
1744853764.7126284,568320,3072.533935546875
1744853834.3838348,604160,3085.675537109375
1744853901.1222458,640640,3327.2431640625
1744853907.1416485,643840,3325.47021484375
1744853920.1899269,650880,3373.82421875
1744853928.3794296,655360,3376.79931640625
1744853932.8598418,657920,3426.484130859375
1744853935.5783749,659200,3433.746337890625
1744853947.2801383,664960,3445.035888671875
1744853971.1584213,677120,3525.80419921875
1744853989.881741,686720,3556.40625
1744853998.0006037,690560,3465.706787109375
1744854024.2343981,704000,3471.634521484375
1744854038.3974183,711040,3465.69287109375
1744854040.5710719,712320,3467.770751953125
1744854058.3848898,721280,3479.205322265625
1744854066.9196317,725760,3419.181884765625
1744854091.051424,737920,3444.652587890625
1744854092.1847267,738560,3444.652587890625
1744854106.4973524,746240,3440.986328125
1744854118.9234219,752640,3424.12255859375
1744854121.12419,753920,3424.071044921875
1744854130.9379122,759040,3425.50390625
1744854141.9140913,764800,3356.16357421875
1744854173.6844678,780800,3281.640380859375
1744854182.125692,785280,3254.98779296875
1744854208.6429822,798720,3063.410888671875
1744854217.0118868,802560,3028.105712890625
1744854219.6696289,803840,3028.105712890625
1744854223.3046415,805760,2995.463623046875
1744854228.272197,808320,2939.990966796875
1744854236.3772898,812160,2815.042236328125
1744854241.2348776,814720,2809.11474609375
1744854247.6756885,817920,2829.611328125
1744854276.1324854,832000,2924.416015625
1744854309.2923162,849280,3109.442138671875
1744854333.3502064,862080,3171.601318359375
1744854351.2570014,871680,3205.656494140625
1744854355.7185524,874240,3169.155517578125
1744854368.9591002,881280,3208.385009765625
1744854369.9487607,881920,3176.431640625
1744854420.7583916,908160,3009.923828125
1744854447.5565326,921600,3012.381103515625
1744854448.8577118,922240,3029.54736328125
1744854471.6655097,933760,2856.535400390625
1744854472.9388406,934400,2856.535400390625
1744854516.34211,957440,3014.489501953125
1744854526.6843228,962560,3036.284423828125
1744854536.352854,967680,3049.423583984375
1744854540.4179938,969600,3053.94189453125
1744854585.1362715,992000,3214.064453125
1744854588.7130587,993920,3207.555419921875
1744854606.451287,1002880,3145.862548828125
1744854610.0352063,1004800,3141.60205078125
1744854616.4954638,1008000,3189.85546875
1744854631.4068983,1015680,3177.203125
1744854645.7476592,1022720,3234.398193359375
1744854684.4291768,1042560,3358.22119140625
1744854694.1768718,1047680,3377.177490234375
1744854738.4816983,1070080,3362.917236328125
1744854757.0921993,1079680,3262.096923828125
1744854779.3407772,1090560,3145.651611328125
1744854781.9822779,1091840,3129.07666015625
1744854785.5865982,1093760,3131.551025390625
1744854790.5096416,1096320,3166.187744140625
1744854872.2560143,1137280,3195.86865234375
1744854874.5087104,1138560,3207.855224609375
1744854890.4383051,1146240,3086.533447265625
1744854894.006488,1148160,3086.9072265625
1744854963.8067942,1183360,2967.310302734375
1744854968.669014,1185920,2974.076904296875
1744854980.2807198,1191680,3058.410400390625
1744854989.461733,1196160,3076.724365234375
1744855029.4552925,1216640,3310.165283203125
