Wall time,Step,Value
1744914038.3527565,5160,154.04287719726562
1744914047.5922477,10320,157.89385986328125
1744914059.2337396,15480,133.52516174316406
1744914080.392408,20640,76.01400756835938
1744914097.5859253,25800,128.49449157714844
1744914109.8383174,30960,148.9140167236328
1744914121.5383804,36120,152.74288940429688
1744914133.4519877,41280,151.9918975830078
1744914144.7210858,46440,164.53817749023438
1744914154.8179603,51600,172.9861602783203
1744914169.4754374,56760,132.04580688476562
1744914179.5681698,61920,163.65379333496094
1744914188.7611456,67080,194.498291015625
1744914198.0734563,72240,209.01596069335938
1744914207.7814002,77400,211.63546752929688
1744914216.4143817,82560,210.4503173828125
1744914224.9017344,87720,217.68753051757812
1744914233.3045044,92880,240.13363647460938
1744914242.1780834,98040,236.88072204589844
1744914251.4338262,103200,232.75885009765625
1744914260.475705,108360,220.8727264404297
1744914269.946801,113520,219.15591430664062
1744914279.215348,118680,213.8291473388672
1744914289.1220615,123840,197.21217346191406
1744914298.3846836,129000,206.40277099609375
1744914307.6694558,134160,205.03599548339844
1744914316.921477,139320,219.8940887451172
1744914326.5819545,144480,213.1184539794922
1744914335.1996431,149640,225.62648010253906
1744914344.2018862,154800,239.130126953125
1744914353.4801886,159960,232.99740600585938
1744914363.2407532,165120,199.7141876220703
1744914374.0649114,170280,232.5025634765625
1744914382.7282872,175440,233.3293914794922
1744914391.3428192,180600,260.82171630859375
1744914400.418801,185760,229.1082000732422
1744914408.9840233,190920,235.93716430664062
1744914417.2023623,196080,254.89462280273438
1744914427.8303697,201240,228.7131805419922
1744914437.1205373,206400,224.49696350097656
1744914447.4715257,211560,213.36476135253906
1744914456.8600473,216720,212.9887237548828
1744914466.5558674,221880,228.35211181640625
1744914476.0448735,227040,248.7010040283203
1744914485.9535673,232200,219.6966552734375
1744914494.8142765,237360,220.4224853515625
1744914504.4125304,242520,212.98985290527344
1744914513.6664963,247680,229.60035705566406
1744914522.6343567,252840,245.58326721191406
1744914530.757518,258000,249.68783569335938
1744914539.6448276,263160,235.61146545410156
1744914548.1791396,268320,259.178955078125
1744914557.2410197,273480,251.90011596679688
1744914565.80415,278640,252.64866638183594
1744914574.2310588,283800,265.3608093261719
1744914582.0681891,288960,273.9568786621094
1744914591.2997162,294120,272.53753662109375
1744914600.088447,299280,288.26434326171875
1744914608.6864092,304440,268.35235595703125
1744914616.489604,309600,278.8268737792969
1744914623.8860462,314760,287.6089172363281
1744914631.6790907,319920,292.0354309082031
1744914640.109203,325080,269.5673828125
1744914647.8796792,330240,272.9098815917969
1744914655.1270978,335400,285.61090087890625
1744914663.1240993,340560,273.5627746582031
1744914671.9619267,345720,255.23263549804688
1744914680.589646,350880,254.084716796875
1744914688.3291306,356040,255.01380920410156
1744914696.7248366,361200,236.32369995117188
1744914704.2727592,366360,266.7378234863281
1744914711.953605,371520,287.4793701171875
1744914720.1693735,376680,287.1085205078125
1744914727.5607295,381840,298.843505859375
1744914734.6573017,387000,309.7056884765625
1744914741.9448402,392160,308.68621826171875
1744914750.9139738,397320,306.9557800292969
1744914759.7998264,402480,260.8873596191406
1744914768.246291,407640,248.0472412109375
1744914776.2035599,412800,277.3518981933594
1744914783.1059873,417960,300.1073913574219
1744914791.2963085,423120,284.96868896484375
1744914801.8298998,428280,217.13629150390625
1744914809.4281607,433440,254.50440979003906
1744914816.4851525,438600,294.3035583496094
1744914824.4935055,443760,297.81268310546875
1744914833.1625683,448920,284.69866943359375
1744914840.6617079,454080,270.98895263671875
1744914848.0703328,459240,276.1402587890625
1744914855.363868,464400,283.1165466308594
1744914862.912082,469560,297.67352294921875
1744914870.6918468,474720,289.0560302734375
1744914878.0130823,479880,302.5570068359375
1744914885.2384312,485040,282.6585388183594
1744914892.9702442,490200,273.48248291015625
1744914900.4747896,495360,258.2686462402344
1744914907.8638928,500520,256.8955993652344
1744914915.2488794,505680,251.9922637939453
1744914925.6832657,510840,237.77029418945312
1744914936.831776,516000,199.75953674316406
1744914944.1608956,521160,266.2613525390625
1744914951.15384,526320,295.3992004394531
1744914961.03194,531480,274.93951416015625
1744914970.945263,536640,224.00894165039062
1744914978.6180995,541800,258.1316223144531
1744914987.3211477,546960,285.3397216796875
1744914996.1251776,552120,257.05987548828125
1744915003.763591,557280,288.8032531738281
1744915012.089713,562440,265.3500671386719
1744915020.1660318,567600,287.3910217285156
1744915028.3643818,572760,283.81463623046875
1744915036.532321,577920,277.0672302246094
1744915043.9262276,583080,280.18170166015625
1744915051.4350924,588240,289.1657409667969
1744915060.077565,593400,292.4682312011719
1744915068.116235,598560,295.54632568359375
1744915075.9985046,603720,288.14886474609375
1744915083.5905304,608880,305.8377685546875
1744915091.5808585,614040,280.3962097167969
1744915098.657106,619200,298.81475830078125
1744915106.0731301,624360,303.92413330078125
1744915113.3109813,629520,280.3395690917969
1744915121.103283,634680,294.5488586425781
1744915128.4740777,639840,279.6097106933594
1744915136.1745322,645000,260.7457580566406
1744915143.9321942,650160,276.29779052734375
1744915151.4730594,655320,274.8777770996094
1744915159.338548,660480,278.93084716796875
1744915166.6065736,665640,284.35748291015625
1744915174.5657427,670800,288.23419189453125
1744915181.6936064,675960,284.27386474609375
1744915189.2482698,681120,277.905517578125
1744915197.3799527,686280,253.43312072753906
1744915205.363454,691440,252.9237060546875
1744915212.913969,696600,264.8841857910156
1744915220.9700572,701760,273.2445373535156
1744915228.5602915,706920,282.3341369628906
1744915236.5272064,712080,286.52020263671875
1744915244.0038984,717240,293.7937316894531
1744915251.995338,722400,285.70611572265625
1744915259.4205093,727560,261.6038513183594
1744915267.2679105,732720,288.33880615234375
1744915274.500389,737880,287.2446594238281
1744915282.0934536,743040,266.96044921875
1744915290.2905533,748200,249.4058380126953
1744915298.2886856,753360,244.9284210205078
1744915305.7796862,758520,246.64703369140625
1744915313.8720653,763680,236.75216674804688
1744915321.4561968,768840,240.99949645996094
1744915328.8024492,774000,241.74429321289062
1744915336.2973046,779160,256.7736511230469
1744915343.7249556,784320,239.44529724121094
1744915351.684056,789480,212.90814208984375
1744915359.3694947,794640,231.86395263671875
1744915367.5902364,799800,227.46205139160156
1744915375.9103744,804960,202.82740783691406
1744915383.8820686,810120,216.23594665527344
1744915391.514327,815280,234.50279235839844
1744915399.2979414,820440,253.78152465820312
1744915407.2025268,825600,230.08058166503906
1744915415.5500212,830760,231.2705841064453
1744915422.59605,835920,244.7057342529297
1744915429.9103174,841080,268.19830322265625
1744915437.412666,846240,276.68621826171875
1744915445.1476889,851400,232.93377685546875
1744915452.5113125,856560,236.79135131835938
1744915460.4687893,861720,243.4449005126953
1744915468.3437192,866880,224.50799560546875
1744915476.0456758,872040,240.2225799560547
1744915483.8362103,877200,235.0113983154297
1744915491.731982,882360,251.1676788330078
1744915499.3333883,887520,256.23333740234375
1744915507.0078974,892680,256.701904296875
1744915514.2462947,897840,250.40365600585938
1744915521.97424,903000,262.6408386230469
1744915529.8047166,908160,268.0132751464844
1744915537.7626472,913320,268.43511962890625
1744915545.148536,918480,280.29876708984375
1744915552.9464178,923640,282.68890380859375
1744915560.8486505,928800,285.6064453125
1744915568.6503606,933960,295.5352783203125
1744915576.1970806,939120,292.9137878417969
1744915584.1134074,944280,292.2821350097656
1744915594.1491902,949440,250.6022186279297
1744915605.250716,954600,206.77557373046875
1744915612.4444647,959760,268.95111083984375
1744915619.61755,964920,292.7520446777344
1744915626.7017498,970080,299.7995910644531
1744915633.4546418,975240,298.35894775390625
1744915641.0669577,980400,288.3144226074219
1744915648.003197,985560,284.8094177246094
1744915655.3930018,990720,299.7359313964844
1744915663.5220675,995880,287.0552978515625
1744915670.9203959,1001040,295.5355224609375
1744915677.6085324,1006200,316.6758728027344
1744915684.8043215,1011360,315.8315734863281
1744915691.813074,1016520,293.09564208984375
1744915699.5562665,1021680,291.8822021484375
1744915706.8337662,1026840,278.9751281738281
1744915714.0519564,1032000,305.5162048339844
1744915721.7558112,1037160,303.3254699707031
1744915729.1350913,1042320,303.13037109375
1744915736.2085936,1047480,348.1462707519531
1744915743.845999,1052640,330.03070068359375
1744915750.82548,1057800,303.0888977050781
1744915758.5134478,1062960,314.4053649902344
1744915765.6616604,1068120,314.8639221191406
1744915774.1440365,1073280,311.6940002441406
1744915782.976401,1078440,298.3232727050781
1744915792.0973544,1083600,292.5519714355469
1744915800.7070034,1088760,282.24456787109375
1744915808.899528,1093920,307.8362731933594
1744915815.9206285,1099080,348.35107421875
1744915824.3977401,1104240,337.9554138183594
1744915833.2512536,1109400,297.6819152832031
1744915842.850934,1114560,256.645263671875
1744915849.9269507,1119720,293.4197998046875
1744915857.7281756,1124880,335.07958984375
1744915865.3368897,1130040,324.7088928222656
1744915873.0452337,1135200,310.6573181152344
1744915880.5978103,1140360,306.9820251464844
1744915887.7486768,1145520,312.9967041015625
1744915895.2768607,1150680,304.7637634277344
1744915902.403525,1155840,317.5325622558594
1744915909.450231,1161000,341.11907958984375
1744915916.3398912,1166160,350.1531677246094
1744915923.7547262,1171320,355.63983154296875
1744915930.6299691,1176480,365.0276794433594
1744915938.200849,1181640,342.6425476074219
1744915945.1891606,1186800,361.5954284667969
1744915952.10363,1191960,373.181396484375
1744915958.8036234,1197120,400.2363586425781
1744915965.8314683,1202280,369.8728332519531
1744915972.823165,1207440,328.18182373046875
1744915980.1274061,1212600,337.4947814941406
1744915987.3616421,1217760,360.7630615234375
1744915994.6834557,1222920,368.1315612792969
1744916001.5338368,1228080,364.1456298828125
1744916008.6509466,1233240,381.32568359375
1744916015.5448418,1238400,382.9925537109375
1744916022.7660928,1243560,357.8614807128906
1744916029.5025449,1248720,352.0458984375
1744916036.6220267,1253880,371.45648193359375
1744916043.5887406,1259040,382.65728759765625
1744916050.5741072,1264200,369.8822326660156
1744916057.3224595,1269360,372.8022766113281
1744916064.6008258,1274520,369.2776794433594
1744916071.4095304,1279680,384.3516845703125
1744916078.57118,1284840,367.4139099121094
1744916085.7793343,1290000,359.311279296875
1744916092.6597836,1295160,351.18170166015625
1744916099.8088634,1300320,342.45654296875
1744916106.6441667,1305480,357.9258728027344
1744916113.6215782,1310640,386.368896484375
1744916120.4612563,1315800,417.2042541503906
1744916127.406467,1320960,409.011962890625
1744916134.1288788,1326120,421.23480224609375
1744916141.0280435,1331280,408.19403076171875
1744916147.773607,1336440,430.9360046386719
