Step,Episode Reward
2,7.536152198320985
4,3.7788687460205703
6,5.048964868651394
8,7.270762849982253
11,9.624747167224744
14,7.914660198161439
17,5.965023563908767
20,6.472115982103334
21,1.8393972058572117
24,6.8330738382052
27,7.240047607948256
28,2.6237504532675637
30,3.933871035868533
32,4.303489471863449
34,4.252238432906735
35,2.627661964160567
36,1.9398021886701666
38,5.1369504081573805
39,1.8393972058572117
41,5.050634411665252
42,1.8393972058572117
44,4.447625204188424
45,2.565403747914376
46,2.087166591535481
47,3.1303561336297374
49,4.075402375721286
51,4.2123520554095535
52,2.1732070068787928
53,3.1855878425039883
55,4.633483953322137
57,4.847287505585605
59,4.808112185268044
61,4.557892992351652
63,3.890536479243263
65,4.666106532760233
67,4.087326300145471
68,1.8393972058572117
69,3.026163368846169
71,6.295253394039079
73,6.049330686678822
74,1.8393972058572117
75,2.644353528675399
76,3.180597830600412
77,1.8393972058572117
79,4.940357051985115
81,4.200979823497384
82,1.8393972058572117
83,2.2636366176078364
85,4.330864489701819
86,1.8393972058572117
88,3.8275993701284197
89,1.8393972058572117
92,7.4061224469448295
94,3.9965710874730322
96,4.4596798658452235
98,3.750765043944948
101,8.174789455435283
102,1.9928416308575903
105,7.577882307711306
107,4.0265648773593
108,1.8393972058572117
111,9.95989527106077
120,17.66433191463887
138,39.11401780075728
157,71.62220164077786
175,35.665555900197525
194,39.09667432929454
215,59.92868063292299
236,90.53485099681112
249,32.069272181275736
271,70.68542079300286
294,56.79749227016855
320,79.25102779076786
332,44.29715044008713
345,33.88864785696214
361,54.53471326169408
378,52.37939237681109
394,51.02897007950599
410,37.52797325178076
426,41.07802566451778
448,45.44353528416495
475,80.23763397626679
489,27.652276975627963
511,66.44662256667357
527,35.57104617774577
553,68.61321270137826
581,68.99169591263083
603,81.52057997433516
634,78.40274183359058
664,102.61185077559315
679,59.48883676852956
696,41.50730943150943
727,100.95991024605136
752,48.04465920445586
777,65.00681118503812
803,60.417271774451756
815,24.458832628686253
816,1.8393972058572117
831,29.967859817084186
845,26.954912608380877
859,39.382878522621915
875,48.61532987025707
887,25.065469563736002
906,50.98693087999404
925,38.67242983726329
945,46.248905342995855
949,7.824548598353749
982,128.52736347069686
1017,104.74991334153883
1036,46.69472780785869
1059,48.48849538727273
1080,54.88029068085846
1100,58.980073752523055
1118,52.511901610640805
1128,19.836943441810085
1141,27.311764627618736
1153,29.06662927891051
1166,24.895179986768998
1179,31.09240866362034
1193,37.66066472547422
1210,43.97191900382675
1227,56.375602270198264
1234,15.169156900542681
1240,12.588785188873732
1261,53.95022311851802
1267,15.603588837838707
1277,24.98470429319704
1284,14.921010171804086
1289,9.470356218746081
1304,38.05385015699233
1313,21.84784993394562
1318,10.353620319729298
1325,15.45168057993457
1331,12.227088748108654
1340,21.367976695842017
1348,22.033518949503268
1356,28.519475704261144
1363,17.37017935150324
1371,27.40390605204263
1379,20.278246416569925
1383,7.533964878891217
1389,12.405889162459252
1401,33.61135774896433
1410,21.546196180164145
1418,18.006832824573685
1437,72.24505002767879
1456,55.60112006342052
1472,40.43354277205955
1493,56.94721606784458
1515,46.64782815867645
1540,81.60359345869675
1570,63.92592065719062
1598,91.2965273914262
1625,72.26120140626853
1649,74.88228072376421
1675,82.58127771104597
1702,51.73465782114935
1745,130.09681049025818
1768,75.43787622790619
1792,62.67111409885218
1810,65.82344958381763
1816,11.197210001076886
1822,11.366501788633121
1853,102.02580421937793
1878,88.12646035897923
1879,1.8393972058572117
1905,102.61075729902504
1923,46.05439760624239
1940,48.30129486867591
1955,34.30685081448212
1970,39.127765448286894
1992,55.9383495108104
2007,43.0122497076428
2031,72.96960522309665
2046,59.58388910952959
2055,19.92447486181755
2080,59.47203928046389
2099,49.220296803695234
2109,20.441550742625942
2136,71.69574294628512
2156,60.951090291793236
2170,49.79327040088841
2171,1.8393972058572117
2193,51.770367230813804
2217,93.36257422947408
2240,62.65054262536466
2252,23.746846538498602
2256,8.04395159801159
2269,27.680171864258806
2284,51.06195512906349
2301,61.72084253729277
2332,95.14500130838853
2349,48.013773447013506
2366,34.087391571323465
2372,11.412821561427752
2382,26.74469085406505
2392,30.849911958303096
2402,32.661664209981765
2411,20.706316599691004
2412,1.8393972058572117
2421,28.725261534322733
2424,5.788137033223949
2433,23.690963892880518
2444,31.63411427707316
2457,27.92572503730984
2468,33.686330538133255
2475,23.415133846424247
2489,40.463086436282445
2499,21.620935853530014
2506,14.668846776634165
2514,28.790686781154147
2529,54.08544068256596
2544,37.57854260679749
2561,56.25217463234539
2578,46.12374432042017
2596,57.93872576354458
2609,29.31900759455877
2621,26.182641142449384
2643,62.67947316864792
2667,64.91525656415526
2697,73.2969147479314
2712,34.021749989012406
2713,1.8393972058572117
2738,73.77035906048481
2750,29.532650135815736
2768,70.7203035163682
2787,63.164526779931926
2801,48.38615402428458
2823,59.46064496139394
2841,43.273193913308894
2859,57.32799536615715
2874,39.40456436406015
2893,52.99778032963415
2912,41.551357912811916
2930,55.30361356072313
2955,83.27300525385225
2982,93.84733065244511
3008,66.92358154411457
3034,87.46866287892819
3046,27.992183927840465
3053,29.09675865803665
3069,44.3878387122586
3086,38.36530406296907
3100,31.303015545503943
3116,33.282805576867425
3127,22.488436258961798
3128,1.8393972058572117
3129,1.8393972058572117
3141,34.5204276091467
3154,38.12769816810816
3169,47.679462375583846
3190,57.79551846190938
3202,29.791644695314602
3228,65.94025192708851
3258,75.08796381962048
3285,77.34344257063006
3323,125.47112016792877
3355,98.98615805319479
3388,104.99067511927922
3429,110.9057953550076
3462,98.24446422502308
3473,30.57403203136917
3500,68.85538190590843
3529,80.91273749143977
3551,62.091719129056074
3574,80.85640414586526
3600,86.44583087936788
3617,54.85795156455847
3633,34.392043048479266
3654,39.69498879947763
3677,75.24910818748292
3700,60.515641118176255
3724,77.3155007434596
3748,84.86330972499478
3760,26.524212550726265
3774,48.53672241457476
3787,41.91963840890153
3799,44.73587061100424
3815,45.67501550814582
3829,40.59877716256134
3837,15.814540173113285
3847,32.85258503179655
3856,22.270157367317726
3878,56.43020857645687
3894,51.609759183903805
3907,49.1067813692428
3919,32.44687804430812
3935,40.526874389862556
3947,26.30062466354883
3958,25.70035154373466
3972,31.02173728857518
3985,34.810717547611
4000,54.348073634408834
4017,39.770245680229486
4043,84.37350567731066
4067,70.66620626334986
4086,52.290905210492205
4104,59.58272408918165
