Wall time,Step,Value
1744751041.3847198,1280,22.588268280029297
1744751044.738604,2560,57.20811462402344
1744751047.9464047,3840,92.72921752929688
1744751051.3106616,5120,109.66889190673828
1744751054.5295632,6400,99.8141098022461
1744751057.6898246,7680,97.48698425292969
1744751061.1076665,8960,94.78880310058594
1744751064.9539573,10240,81.87128448486328
1744751067.9932654,11520,85.5018081665039
1744751071.2664382,12800,90.12638092041016
1744751074.4671805,14080,94.05025482177734
1744751077.5471146,15360,105.97382354736328
1744751080.8164566,16640,104.21307373046875
1744751084.1283786,17920,103.94575500488281
1744751087.3501232,19200,96.03498840332031
1744751090.9233549,20480,95.79471588134766
1744751094.101518,21760,98.62361145019531
1744751097.194977,23040,105.45680236816406
1744751100.218545,24320,109.35034942626953
1744751103.384748,25600,119.64283752441406
1744751106.4180493,26880,124.57963562011719
1744751109.593285,28160,126.36128234863281
1744751112.7589052,29440,123.78495788574219
1744751116.2481215,30720,122.49835205078125
1744751119.4117641,32000,118.5536880493164
1744751122.6201684,33280,114.22230529785156
1744751125.6989086,34560,118.10356903076172
1744751128.9151337,35840,116.8377914428711
1744751131.9931006,37120,122.1043930053711
1744751135.1824396,38400,119.88739776611328
1744751138.2835417,39680,121.03788757324219
1744751141.983909,40960,122.82559967041016
1744751145.0217605,42240,130.07579040527344
1744751147.9921718,43520,127.19992065429688
1744751151.3089752,44800,132.56866455078125
1744751154.5024538,46080,133.335693359375
1744751157.567595,47360,127.46182250976562
1744751160.637947,48640,137.59359741210938
1744751163.7244635,49920,135.42471313476562
1744751167.481741,51200,125.13475036621094
1744751170.6840246,52480,126.148193359375
1744751173.5935252,53760,120.91696166992188
1744751176.486011,55040,131.8423309326172
1744751179.387651,56320,148.47850036621094
1744751182.6188722,57600,153.63336181640625
1744751185.6651585,58880,155.72006225585938
1744751188.5756252,60160,151.8665771484375
1744751192.1548288,61440,146.21910095214844
1744751195.1852405,62720,145.29058837890625
1744751198.1755276,64000,154.107177734375
1744751201.1021612,65280,156.5971221923828
1744751204.1812327,66560,161.2869110107422
1744751207.32167,67840,168.9847412109375
1744751210.316879,69120,168.42356872558594
1744751213.2551594,70400,167.2770538330078
1744751216.2077692,71680,178.05714416503906
1744751219.2150438,72960,170.39910888671875
1744751222.273268,74240,178.8064422607422
1744751225.1624062,75520,181.28451538085938
1744751228.154922,76800,185.61483764648438
1744751231.0642474,78080,179.35704040527344
1744751234.078233,79360,200.45407104492188
1744751237.0251784,80640,187.40487670898438
1744751240.038937,81920,184.2695770263672
1744751243.1757739,83200,175.2405242919922
1744751245.9759235,84480,170.5968780517578
1744751248.9554088,85760,170.33433532714844
1744751251.9305804,87040,174.6401824951172
1744751254.7994752,88320,181.33091735839844
1744751257.6518176,89600,184.81907653808594
1744751261.1128016,90880,199.16070556640625
1744751264.0148067,92160,186.8851318359375
1744751266.921327,93440,190.25735473632812
1744751269.7357528,94720,201.54977416992188
1744751272.751137,96000,194.33958435058594
1744751275.6566508,97280,189.603759765625
1744751278.5583372,98560,194.4995574951172
1744751281.353715,99840,213.3632049560547
1744751284.93815,101120,205.21275329589844
1744751288.1494272,102400,194.85836791992188
1744751291.2726612,103680,185.66763305664062
1744751294.297668,104960,184.82432556152344
1744751297.4177961,106240,181.4033966064453
1744751300.3304868,107520,178.65652465820312
1744751303.2677255,108800,192.67832946777344
1744751306.31676,110080,192.19268798828125
1744751316.7782958,111360,77.52217102050781
1744751319.9287806,112640,78.31783294677734
1744751322.8165314,113920,78.08328247070312
1744751325.8676643,115200,115.2089614868164
1744751328.8203466,116480,143.0402069091797
1744751331.9033298,117760,182.7023162841797
1744751334.7333305,119040,189.338134765625
1744751337.7240794,120320,198.7001953125
1744751342.259653,121600,166.55311584472656
1744751345.3240423,122880,167.57623291015625
1744751348.336693,124160,156.5866241455078
1744751351.2897267,125440,162.74537658691406
1744751354.2292354,126720,173.06814575195312
1744751357.1558273,128000,183.3899688720703
1744751360.2339957,129280,189.53244018554688
1744751363.3268201,130560,188.17869567871094
1744751366.2209575,131840,186.81887817382812
1744751369.2480805,133120,170.3457794189453
1744751372.1700356,134400,180.834228515625
1744751375.1329808,135680,188.50205993652344
1744751378.1602924,136960,185.287841796875
1744751381.029732,138240,189.41775512695312
1744751383.691947,139520,202.1482696533203
1744751386.6518695,140800,204.2132110595703
1744751389.7346249,142080,200.8771209716797
1744751392.6200335,143360,185.3805694580078
1744751395.5676067,144640,202.61790466308594
1744751398.4596715,145920,199.11814880371094
1744751401.469346,147200,189.81605529785156
1744751404.373393,148480,191.8095703125
1744751407.356979,149760,193.18087768554688
1744751410.8332717,151040,185.90133666992188
1744751413.7743068,152320,178.6173095703125
1744751416.5754032,153600,183.48402404785156
1744751419.4638484,154880,181.52227783203125
1744751422.313456,156160,187.70689392089844
1744751425.3060818,157440,196.7998809814453
1744751428.2193139,158720,205.05259704589844
1744751431.0812278,160000,211.319091796875
1744751434.49573,161280,206.3104248046875
1744751437.5359762,162560,217.2559814453125
1744751440.361917,163840,215.86607360839844
1744751443.422034,165120,218.93922424316406
1744751446.1347754,166400,217.8066864013672
1744751449.0680916,167680,216.68788146972656
1744751451.8694704,168960,219.25726318359375
1744751454.7814825,170240,227.73507690429688
1744751457.719178,171520,211.9828643798828
1744751460.597067,172800,211.9437255859375
1744751463.578157,174080,213.46275329589844
1744751466.417591,175360,214.6771240234375
1744751469.2072353,176640,208.6407012939453
1744751472.1058626,177920,217.2480010986328
1744751475.0408747,179200,219.8579864501953
1744751477.9876227,180480,231.7518310546875
1744751480.7953713,181760,223.74171447753906
1744751483.670465,183040,222.13372802734375
1744751486.5131073,184320,221.1925811767578
1744751489.3752844,185600,224.42938232421875
1744751492.316592,186880,215.6608123779297
1744751495.2764587,188160,209.12294006347656
1744751498.0767891,189440,220.43873596191406
1744751500.9504464,190720,214.42245483398438
1744751503.7326365,192000,217.8053436279297
1744751506.7276635,193280,212.6302490234375
1744751509.7332616,194560,207.63990783691406
1744751512.8456628,195840,209.90243530273438
1744751515.8555968,197120,195.1528778076172
1744751518.6340408,198400,194.33193969726562
1744751521.5800095,199680,191.5861358642578
1744751525.1186106,200960,191.42117309570312
1744751527.9816575,202240,178.8249969482422
1744751530.918577,203520,181.01641845703125
1744751533.7904034,204800,194.29522705078125
1744751536.6371167,206080,201.15000915527344
1744751539.643571,207360,198.44383239746094
1744751542.5331416,208640,195.8041534423828
1744751545.4554617,209920,218.629150390625
1744751548.9875593,211200,212.99887084960938
1744751551.9041471,212480,196.63922119140625
1744751554.7143333,213760,198.83050537109375
1744751557.7059824,215040,210.75119018554688
1744751560.7318704,216320,215.04852294921875
1744751563.7130857,217600,208.83074951171875
1744751566.6971467,218880,206.72523498535156
1744751569.5221357,220160,221.18179321289062
1744751574.1631496,221440,187.0398712158203
1744751577.135128,222720,189.8191680908203
1744751580.0683267,224000,186.48965454101562
1744751583.0449638,225280,195.0078887939453
1744751585.9623373,226560,179.7138214111328
1744751588.8766646,227840,185.06613159179688
1744751591.7292373,229120,216.3218231201172
1744751594.616805,230400,215.795654296875
1744751597.6675441,231680,224.09039306640625
1744751600.575102,232960,208.9703826904297
1744751603.5630958,234240,211.9236297607422
1744751606.3635201,235520,194.48333740234375
1744751609.3389678,236800,181.96827697753906
1744751612.241044,238080,180.84408569335938
1744751615.379227,239360,182.43185424804688
1744751618.2760892,240640,188.6697998046875
1744751621.2256262,241920,192.10842895507812
1744751624.0122154,243200,190.71083068847656
1744751626.9021044,244480,201.775146484375
1744751629.7139812,245760,185.3349609375
1744751632.5034444,247040,200.55795288085938
1744751635.1874864,248320,210.00404357910156
1744751638.0446305,249600,207.7766876220703
1744751640.7827256,250880,215.9745635986328
1744751643.6705236,252160,227.85107421875
1744751646.5073307,253440,228.18959045410156
1744751649.5949328,254720,236.6938934326172
1744751652.6020715,256000,229.9559783935547
1744751655.3861735,257280,225.17298889160156
1744751658.2597907,258560,228.88002014160156
1744751661.243072,259840,223.01332092285156
1744751664.882764,261120,213.4639434814453
1744751668.1364915,262400,200.78668212890625
1744751671.050427,263680,196.0858154296875
1744751673.9560833,264960,187.4017333984375
1744751676.7637184,266240,178.6318359375
1744751679.6286452,267520,188.27352905273438
1744751682.6168313,268800,194.6674041748047
1744751685.5613303,270080,193.5947723388672
1744751689.8369365,271360,190.6639404296875
