Step,Episode Reward
2,4.109568531061944
4,4.429986179791017
6,6.648098895048858
8,4.397544084936757
11,7.944262626906106
14,8.40417545233251
17,6.838384334031257
20,8.911912400537407
23,6.533832461614409
26,6.409644662296879
28,5.506395696299288
29,2.33678824781998
30,2.386833256710438
32,5.222465208575004
34,4.050883152782184
35,1.8393972058572117
37,4.819707603273589
38,2.0525989349130453
40,4.0675069332815665
42,6.118231704987341
43,2.2846191184186857
45,5.206732309228785
47,6.416284832755614
49,5.5239119724470775
51,5.309145016107783
53,4.343708691297524
55,4.4198960453439735
57,5.963389952571301
59,4.924155229726935
60,2.4638309957372475
62,4.151384877417794
64,6.076199734723131
65,2.387547113709713
66,1.8393972058572117
67,1.957273764290361
69,4.8479683248559
71,5.576338921342627
73,4.591841328368282
74,2.1853950303447385
76,3.944806663499061
78,4.023393043890308
79,2.3429262983398753
81,5.75798626956291
82,2.3069120906417275
83,2.8645126596021777
85,6.136468611993979
87,4.023996494375858
89,3.96820410031047
90,1.8393972058572117
93,7.267024710751414
94,1.8393972058572117
96,4.736903049902812
98,4.694988711661409
101,10.611329480214655
102,2.72243819877646
105,6.454236701117303
106,1.8393972058572117
109,6.98848551475349
118,17.528052134648814
128,18.956020902322926
149,43.25749498141164
171,49.4203314874569
194,52.39920188942321
207,25.30696879998799
230,64.09275186762183
244,37.32606406090406
276,126.12143706298883
308,109.84445034493991
320,24.12434492889166
332,29.68449942670181
368,117.10329313397872
403,112.4343285983642
418,49.8667953036939
436,42.16882309887609
456,78.18415024269856
484,68.1940015090992
522,115.41740230123885
548,51.601912184524096
568,43.89290546870871
596,71.03971621680617
621,81.00990744014577
648,73.82502251010348
675,60.617891489381485
695,45.77163317074232
737,148.08356077805715
764,57.093676855981016
792,96.29929806399434
823,103.98209623400169
853,118.8974067878536
883,92.4575275527348
914,92.99598107356894
945,105.97674296929645
963,48.966934230059
996,86.98489531317443
997,1.8393972058572117
1032,97.45277049208124
1037,10.211871406499649
1047,30.684338436582795
1056,20.882064086089883
1069,28.116123243876828
1080,46.791127109765455
1090,23.682704769866074
1102,33.89415267822285
1115,29.8818065057822
1128,31.2880539529236
1141,47.40716216344761
1161,57.63635176616166
1176,40.51435434908416
1190,33.411535800202984
1202,32.941879942787885
1221,62.72472105763094
1235,32.24865301648507
1243,19.189234228238014
1255,25.042546980074658
1267,32.90450259377573
1276,23.307670668350937
1285,27.333664589301364
1307,50.24261777207063
1325,53.54108469626956
1342,35.08011323971582
1363,73.67317748683247
1386,55.47880603901007
1412,80.28614171179863
1436,57.12421308150254
1461,96.24472624460105
1494,108.06343174339518
1520,88.37716418051521
1538,41.61930519598359
1549,25.03473455665467
1569,39.05708897515717
1591,50.331445967666276
1596,11.843117549777487
1609,46.905362581706584
1616,13.598899715042405
1633,56.02081881970941
1653,53.50998889846344
1675,75.91922176798981
1688,29.741053085127774
1711,47.64247379963633
1737,69.44318047447504
1760,73.47391937137617
1801,109.90503311746538
1842,112.68579468528483
1877,122.97426499583771
1914,118.44462709460602
1946,99.8582346154024
1982,87.85362777113004
2021,152.45009879386004
2033,23.617042529355892
2062,65.58758249672312
2105,141.22894733111164
2130,61.99266292842127
2156,93.20805412361223
2181,78.02944660288034
2225,152.12631122804623
2226,1.8393972058572117
2252,61.71559203285644
2268,33.76907122082556
2298,75.73061989135802
2331,122.52609619005099
2355,72.99227513563628
2364,25.192621860680372
2375,29.789026585180334
2387,44.594394535269814
2392,13.594865758093519
2404,30.460095442278323
2417,32.50769286182673
2433,49.74612828751517
2450,58.848734071867106
2460,25.389473598925267
2470,23.062584664930622
2481,27.668502219740237
2497,35.9930961551427
2511,51.31553821211312
2521,25.438740954863597
2538,45.432717277050145
2555,56.864457737118514
2577,67.61020608308169
2599,64.61143037409285
2616,40.300314211907484
2633,38.823237474312464
2643,19.34588269593785
2659,41.888149788363464
2673,50.38730627177936
2689,43.328685810470375
2711,68.17895290023989
2735,54.97695481639634
2758,86.73609979313927
2759,1.8393972058572117
2783,77.23364688718254
2806,81.42480868593954
2830,51.50704997599695
2856,51.554140138819164
2859,5.691959129846694
2878,64.97571706242005
2887,24.17595792871133
2912,79.47495534470454
2923,26.578726929322517
2951,77.23259960550098
2959,15.935847628571901
2969,21.4026037460057
2994,56.65375199644356
3018,57.281848954717425
3043,61.36826378991415
3086,137.32577422768225
3103,55.555069639490256
3133,63.88139123797361
3164,131.10634747815993
3182,37.848740117615705
3214,74.98031124784661
3231,42.673619658098175
3237,13.714497130478279
3277,118.65706073593479
3315,93.13883744933106
3337,66.02299802165693
3345,17.316702912340343
3373,69.36468986600383
3376,5.520957472996555
3403,84.0723970255057
3412,18.725389214410285
3423,24.51615450420767
3439,46.476065756228465
3456,48.88138393377326
3463,14.009688822975999
3484,75.63045126163507
3507,69.28009106624329
3526,42.17334324017623
3545,71.43283241459554
3566,53.640218742124304
3594,101.282789699779
3603,17.287100208415552
3633,75.90636237788301
3664,90.41372664544556
3684,62.73239575568784
3685,1.8393972058572117
3706,50.64252546135146
3726,52.009007404815726
3729,5.587461042882335
3768,141.4060528573141
3788,65.81459281780865
3812,68.77385654549761
3849,99.06621670767275
3860,26.264729576946714
3881,45.9893266830904
3904,58.83508682529995
3926,76.61808865104553
3949,68.35584295515177
3976,61.653585514119435
4003,69.69705901765343
4027,54.3929075287102
4054,94.55744664554894
4085,87.80215808910546
4091,16.961458585486803
4103,45.61705431592818
4104,1.8393972058572117
4120,50.62077465593136
4152,119.87380983293598
4157,9.744555053472563
4174,53.59621096770709
4191,55.78955098670702
4208,60.22347143170974
4221,25.504798517262692
4222,1.8393972058572117
4241,56.851332694469356
4257,36.575673046547855
4275,60.82206733224946
4290,37.313641948684065
4310,60.29989171942935
4317,13.130583049298973
4340,63.21489018364994
4353,31.356348328656992
4369,35.014171258699605
4381,26.92828905937546
4398,41.88149862554247
4409,31.152166337623665
4425,61.570343952476335
4442,47.07494103770213
4467,97.09708730965097
4489,52.71338435719125
4509,49.85217411347624
4533,74.8365570565166
4548,30.671070097537118
4583,84.2513599769615
4607,68.96629236741389
4629,78.85614692981754
4666,106.52247985745839
4682,40.40176708510721
4707,80.89253561975517
4708,1.8393972058572117
4723,38.52123020557764
4735,29.398059685617074
4746,23.578393801264387
4760,47.24444933125134
4779,41.08215870162497
4794,40.784379816525636
4811,38.462828277760536
4819,16.48677900108358
4835,42.01188056846961
4861,68.98090409288987
4876,35.70138996772146
4893,49.89375826632268
4934,104.74456378117948
4961,63.18900826057679
4989,84.89833837233006
5016,64.31195944065662
5043,77.66756524609704
5066,70.88673636058542
5081,32.25924795553333
5101,46.6461066713939
5109,27.532193610736876
5134,48.72560734163244
5136,3.68278457255951
5149,37.45032933323173
5163,44.1113674956417
5176,42.72876611154066
5177,1.8393972058572117
5184,24.156511411198302
5200,39.93778800252474
5221,64.2548824483607
5228,13.92378988758301
5250,74.02559792449365
5287,124.18239771445792
5296,17.967285923027617
5311,35.947682682438874
5313,3.6932984424713604
5315,3.7457176032816952
5329,50.29744671310388
5344,52.90779824743755
5359,34.30124872323663
5375,55.51811346477249
5382,15.360216902225224
5390,21.822004281341847
5403,37.13096430346204
5418,31.24023700363813
5428,28.303252784586427
5439,20.841799568137056
5454,40.83260727238654
5465,27.13800501500884
5481,43.69717974555008
5494,32.240552493004905
5506,27.488437969357815
5516,24.364071098542084
5529,29.061303696064666
5544,39.04635720007417
5560,52.040173600509426
5574,31.801040963918147
5587,33.555686559786814
5607,46.91337898880046
5636,70.26748235585904
5666,77.25721574949954
5683,34.53709940521114
5707,62.71539088164188
5729,57.473150885719484
5751,50.559736143864576
5757,11.871923369594567
5786,84.3337905965905
5820,106.951509335264
5835,58.47037862664703
5840,9.291269367453085
5868,84.66360166300221
5874,11.423742230428514
5876,3.707542777927769
5893,41.36406553197066
5907,36.82071625516196
5925,46.574883166140886
5944,46.85745718483023
5959,59.72994546804129
5975,37.246857820895784
5986,29.186994768785784
6004,35.57312225480401
6022,51.224141345894324
6032,25.182878850484624
6044,49.69465238313205
6062,49.70081906999444
6078,51.216317787332564
6095,49.79383345004717
6114,59.72719074321371
6128,51.834915617524324
6155,79.70717609721657
6170,44.7039153930161
6197,67.08894035795385
6219,43.917306815984055
6244,64.18792826048504
6269,75.54419618836641
6296,63.909155636790814
6328,84.18968084902556
6352,57.18847567625066
6382,76.23028237638482
6412,76.48823240234616
6445,98.89026836436912
6457,37.433176956629254
6474,40.3782130950154
6489,37.701250172798005
6503,33.45909857154827
6528,64.28824679729132
6546,36.574248016944914
6571,68.78478142840106
6586,30.296189863966607
6601,35.66084906091224
6629,94.17098135386335
6655,64.01465785769274
6661,11.859646020405442
6666,17.868850082293402
6692,95.03019435265634
6693,1.8393972058572117
6704,22.518302699638003
6731,88.33018599224731
6746,47.41035783618939
6762,59.016590776576734
6785,55.306406835515205
6819,111.42321141565411
6829,33.81396440700295
6850,53.62511012220441
6871,62.98628614022502
6882,24.81499493828161
6908,64.06543419643802
6926,54.39516904013827
6944,54.51153325913816
6957,36.350101646862
6980,61.48371455977876
7009,74.59122491489565
7037,85.86843216740117
7058,79.30896409175925
7078,45.06060841899909
7106,68.43706148663443
7124,38.67361668400745
7128,11.159204154506078
7157,96.05439315255533
7158,1.8393972058572117
7187,63.14018929226785
7188,1.8393972058572117
7189,1.8393972058572117
7195,11.346544428657156
7218,94.68179847648658
7234,42.543747532343815
7249,40.597196620347816
7266,51.39896611080754
7284,52.440523019844846
7303,61.88126076224593
7320,46.31028386871179
7341,66.68443715550148
7371,86.12053600090208
7388,46.63529935213072
7409,66.59949229686616
7431,71.73344308106145
7461,67.67748105837836
7481,59.04308980142009
7499,47.72773799370608
7517,71.38813686402574
7540,57.97531545869107
7584,111.58966180416478
7597,39.92891697723406
7615,57.4804209438444
7635,44.60850294799231
7654,62.9482263954095
7662,15.110676609184813
7683,64.26882524972312
7700,36.13482900941488
7727,100.59725934465797
7753,77.72925577815245
7754,1.8393972058572117
7766,23.250269544783556
7767,1.8393972058572117
7776,18.349864916055726
7813,92.74930301964376
7832,44.23820097288949
7853,52.82067767582009
7854,1.8393972058572117
7875,67.53566820861141
7895,45.153145712842736
7915,48.860318675322695
7942,73.90084331325916
7963,71.69329103282162
7985,59.56481735229391
8007,58.306146726073166
8024,41.84387670658939
8047,53.3283837783962
8084,99.86044572600555
8112,68.55651546163578
8147,97.84481365159161
8185,110.6609824985068
8218,97.87729111340478
8233,41.0617149629962
8267,103.89615760173314
8307,106.45633209025215
8345,152.47469067925456
8355,29.516787304299847
8367,25.905858068967028
8387,50.10718227453527
8419,82.85568002300124
8444,63.529251197255846
8462,36.76265161195451
8487,71.96467071999999
8510,80.79053969102787
8536,106.51462376439945
8572,104.89267141671519
8597,99.290407316228
8622,58.03943959001571
8646,56.75533940824376
8694,111.71405851646306
8722,74.46554661821224
8751,83.69271487715517
8768,52.11022965098201
8788,54.53487581472751
8821,116.6387924382857
8851,108.71343409288546
8856,9.658556268726155
8882,72.2119632634892
8894,23.78748611548039
8904,22.808927085581235
8917,52.849917703354684
8933,47.41855294854494
8949,37.366266834325984
8973,65.8321616987122
8991,42.25582521068956
9013,55.9892385530081
9028,33.406926257295844
9046,62.23120397009427
9063,47.07670071281639
9074,28.83625037996999
9093,70.33518399463827
9118,61.9925536947406
9131,44.652553066170235
9144,26.88418188788361
9153,17.243408528995943
9170,71.17058738140365
9184,30.0242850997694
9200,53.42022789180615
9219,40.821860261166904
9239,53.05870689021443
9266,79.3638104754137
9291,83.88370882039445
9318,80.64705259410036
9331,24.94445580486442
9332,1.8393972058572117
9353,60.038020425918376
9368,32.46199328655978
9384,35.36990872883015
9410,70.3578980357065
9432,59.30304147291723
9450,59.91546281592586
9474,76.68723062874847
9506,85.50369495718529
9551,118.63294881440007
9586,121.26800637567872
9623,87.29557546978326
9624,1.8393972058572117
9657,91.29775269854412
9690,103.60281992972399
9728,123.53369118683383
9746,35.951319088149674
9781,102.41216401557851
9847,188.420158431863
9885,142.54631797875666
9928,129.02223983317143
9971,139.646616871868
10012,85.36722814746373
10037,87.0969506010643
10062,100.16313128528869
10106,153.58702369310083
10148,132.3174565430285
10189,93.85663695115711
10194,15.31639749684145
10198,12.450103770817721
10201,6.728954836834658
10204,9.45979703942544
10215,21.835223110382245
10229,52.890752404169014
10243,36.24483949051638
10258,30.507582313590536
10272,29.64086072737517
10291,47.6566841328762
10312,61.71109571327966
10333,51.69161847584299
10358,95.14042805532539
10383,85.78768056378682
10414,80.73845132236178
10446,68.17518158363202
10471,67.61697529687142
10505,91.15737692164973
10538,107.3293977367079
10574,118.8177771509956
10601,72.56660599782181
10633,135.02842485887655
10677,103.70641930657735
10698,50.448623284154316
10724,57.46116625249982
10752,102.15629632669433
