alpha,RMSE_q1,RMSE_q2
0,0.080506221918792,0.0364369645546173
0.5,0.0805127875585472,0.0364411181635966
1,0.0805556761418603,0.0365039795184384
1.5,0.0806348341577423,0.0366252482365739
2,0.0807501593130442,0.0368043488448467
