t_s,q1_sim,q1_ref,q2_sim,q2_ref,dq1_sim,dq1_ref,dq2_sim,dq2_ref,tau1,tau2
0,1,0.2,1.5,2,0,0,0,0,-120.010303599785,109.238120443785
0.001,1,0.200002096503672,1.5,1.99999850249738,-0.0361433936161513,0.00418951468513695,0.0581821062911721,-0.00299251048938354,-117.903148903478,106.804090751546
0.002,0.999963856606384,0.200008372058705,1.50005818210629,1.99999401995807,-0.0715982690487457,0.00835811736238146,0.11520545893209,-0.00597008383027242,-115.932502921821,104.297057488065
0.003,0.999892258337335,0.200018805796953,1.50017338756522,1.99998656728789,-0.106374003866094,0.0125058956980195,0.171065076068009,-0.00893278264144248,-114.167108479041,101.648362038613
0.004,0.999785884333469,0.200033376937762,1.50034445264129,1.99997615933017,-0.140479919004546,0.0166329370041889,0.225742850004819,-0.0118806692887063,-112.606116756535,98.8594614889366
0.005,0.999645404414464,0.200052064787609,1.5005701954913,1.99996281086599,-0.173925444540923,0.0207393282402979,0.279221093842229,-0.0148138058859271,-111.179297736011,96.0011735245534
0.006,0.999471478969924,0.200074848739759,1.50084941658514,1.99994653661446,-0.206720201591002,0.0248251560144364,0.331495859500487,-0.017732254296026,-109.77375305988,93.1864292668138
0.007,0.999264758768333,0.200101708273907,1.50118091244464,1.99992735123292,-0.238873968591639,0.0288905065847835,0.382584939357364,-0.0206360761319883,-108.276927833431,90.5269421467296
0.008,0.999025884799741,0.200132622955834,1.501563497384,1.99990526931726,-0.270396544918131,0.0329354658610084,0.432527495074971,-0.0235253327578631,-106.619492597906,88.0903433894344
0.009,0.998755488254823,0.200167572437056,1.50199602487907,1.9998803054021,-0.301297564513227,0.0369601194056648,0.481375455779554,-0.0264000852897606,-104.801716783123,85.8741555242092
0.01,0.99845419069031,0.200206536454478,1.50247740033485,1.99985247396109,-0.331586331562044,0.0409645524355831,0.529179971605605,-0.0292603945968449,-102.89325766534,83.8065486403855
0.011,0.998122604358748,0.20024949483005,1.50300658030646,1.99982178940711,-0.361271742018823,0.0449488498232509,0.57597809816621,-0.032106321302322,-101.006447494305,81.7735875115226
0.012,0.997761332616729,0.200296427470424,1.50358255840462,1.99978826609255,-0.390362321473058,0.0489130960981961,0.621784798204306,-0.0349379257844258,-99.2532820479234,79.6625616913266
0.013,0.997370970295256,0.200347314366609,1.50420434320283,1.99975191830957,-0.418866364731073,0.0528573754483572,0.666593314942579,-0.037755268177398,-97.702536989945,77.4048527215467
0.014,0.996952103930525,0.200402135593632,1.50487093651777,1.99971276029026,-0.446792123448771,0.0567817717214518,0.710383774675692,-0.0405584083724656,-96.3533965281188,75.0019568708971
0.015,0.996505311807076,0.200460871310199,1.50558132029245,1.999670806207,-0.474147969061237,0.0606863684263395,0.753136730653517,-0.0433474060188139,-95.1356621454273,72.5247330885425
0.016,0.996031163838015,0.200523501758356,1.5063344570231,1.9996260701726,-0.500942468573385,0.0645712487343779,0.79484647562494,-0.0461223205245557,-93.9364672656922,70.086153156023
0.017,0.995530221369441,0.200590007263151,1.50712930349872,1.99957856624061,-0.527184343947389,0.0684364954807746,0.835529036729849,-0.0488832110576961,-92.6432880492135,67.7979733632542
0.018,0.995003037025494,0.200660368232301,1.50796483253545,1.9995283084055,-0.552882331818498,0.0722821911659328,0.875221801221158,-0.0516301365470949,-91.1868270431555,65.7278673746733
0.019,0.994450154693675,0.200734565155856,1.50884005433667,1.99947531060296,-0.578044998163568,0.0761084179567932,0.913974916109526,-0.0543631556834238,-89.5673850513894,63.8734027059305
0.02,0.993872109695512,0.200812578605865,1.50975402925278,1.9994195867101,-0.602680580505428,0.0799152576881672,0.95183774931451,-0.0570823269201195,-87.8546512733359,62.1627941620989
0.021,0.993269429115006,0.20089438923605,1.5107058670021,1.99936115054568,-0.626796918769051,0.0837027918640689,0.988845583994947,-0.0597877084743349,-86.160989417777,60.4821516505139
0.022,0.992642632196237,0.20097997778147,1.51169471258609,1.99930001587038,-0.650401501671634,0.0874711016590382,1.02501162927938,-0.0624793583278844,-84.5984264676781,58.7188088288511
0.023,0.991992230694566,0.201069325058194,1.51271972421537,1.999236196387,-0.673501610093201,0.0912202679194614,1.06032739751437,-0.0651573342281867,-83.2357688269307,56.8041900349192
0.024,0.991318729084472,0.201162411962974,1.51378005161289,1.99916970574073,-0.696104501791821,0.0949503711648845,1.0947713038316,-0.0678216936892032,-82.0722300802244,54.7398348589719
0.025,0.990622624582681,0.20125921947292,1.51487482291672,1.99910055751934,-0.718217565581564,0.0986614915893225,1.12832220143275,-0.0704724939923731,-81.0376414019496,52.5966442902021
0.026,0.989904407017099,0.201359728645173,1.51600314511815,1.99902876525345,-0.739848385667423,0.102353709062562,1.16097268250756,-0.0731097921875445,-80.0191651514685,50.4876338077015
0.027,0.989164558631432,0.201463920616581,1.51716411780066,1.99895434241673,-0.761004691865664,0.106027103131463,1.19273706447803,-0.075733645093902,-78.9043071570051,48.5246040966457
