mass_error_percent,RMSE_q1,RMSE_q2
-20,0.0796367317225206,0.0361810671604197
-10,0.0800982465050926,0.036343735490878
0,0.0805556761418603,0.0365039795184384
10,0.0810091447249608,0.0366619145433715
20,0.0814587701994567,0.0368176502154429
